scenario,quantum_coupling,diffusion_rate,collapse_enabled,population,max_steps,seed,alive_count,alive_rate,avg_survival_steps,max_survival_steps,avg_final_energy,avg_steps_taken,deadend_escapes,final_coherence_mean,final_pilot_wave_mean
default,0.5,0.1,True,20,500,9050,19,0.95,480.0,500,430.0,480.0,0,0.9119935631752014,1.6434630155563354
default,0.5,0.1,False,20,500,50,1,0.05,120.0,500,16.0,120.0,0,1.0,0.0007323415484279394
default,0.5,0.1,False,20,500,1050,4,0.2,180.0,500,64.0,180.0,0,1.0,0.0007323415484279394
default,0.5,0.1,False,20,500,2050,2,0.1,140.0,500,32.0,140.0,0,1.0,0.0007323415484279394
default,0.5,0.1,False,20,500,3050,1,0.05,120.0,500,12.0,120.0,0,1.0,0.0007323415484279394
default,0.5,0.1,False,20,500,4050,3,0.15,160.0,500,58.0,160.0,0,1.0,0.0007323415484279394
default,0.5,0.1,False,20,500,5050,2,0.1,140.0,500,24.0,140.0,0,1.0,0.0007323415484279394
default,0.5,0.1,False,20,500,6050,2,0.1,140.0,500,28.0,140.0,0,1.0,0.0007323415484279394
default,0.5,0.1,False,20,500,7050,3,0.15,160.0,500,53.0,160.0,0,1.0,0.0007323415484279394
default,0.5,0.1,False,20,500,8050,1,0.05,120.0,500,30.0,120.0,0,1.0,0.0007323415484279394
default,0.5,0.1,False,20,500,9050,1,0.05,120.0,500,25.0,120.0,0,1.0,0.0007323415484279394
maze,0.0,0.1,True,20,500,0,19,0.95,480.0,500,910.0,480.0,0,0.9080878496170044,1.3770596981048584
maze,0.0,0.1,True,20,500,1000,19,0.95,480.0,500,925.0,480.0,0,0.8960556983947754,1.3770778179168701
maze,0.0,0.1,True,20,500,2000,20,1.0,500.0,500,965.0,500.0,0,0.8927116990089417,1.4703903198242188
maze,0.0,0.1,True,20,500,3000,19,0.95,480.0,500,917.5,480.0,0,0.8969193696975708,1.3770631551742554
maze,0.0,0.1,True,20,500,4000,18,0.9,460.0,500,862.5,460.0,0,0.9110691547393799,1.2922205924987793
maze,0.0,0.1,True,20,500,5000,20,1.0,500.0,500,972.5,500.0,0,0.9123020172119141,1.4704066514968872
maze,0.0,0.1,True,20,500,6000,20,1.0,500.0,500,972.5,500.0,0,0.9096598625183105,1.470404028892517
maze,0.0,0.1,True,20,500,7000,20,1.0,500.0,500,965.0,500.0,0,0.9101928472518921,1.4703924655914307
maze,0.0,0.1,True,20,500,8000,20,1.0,500.0,500,965.0,500.0,0,0.902869462966919,1.4703850746154785
maze,0.0,0.1,True,20,500,9000,20,1.0,500.0,500,972.5,500.0,0,0.9060158133506775,1.4704060554504395
maze,0.0,0.1,False,20,500,0,15,0.75,400.0,500,817.5,400.0,0,1.0,0.00045771352597512305
maze,0.0,0.1,False,20,500,1000,15,0.75,400.0,500,810.0,400.0,0,1.0,0.00045771352597512305
maze,0.0,0.1,False,20,500,2000,11,0.55,320.0,500,582.5,320.0,0,1.0,0.00045771352597512305
maze,0.0,0.1,False,20,500,3000,16,0.8,420.0,500,835.0,420.0,0,1.0,0.00045771352597512305
maze,0.0,0.1,False,20,500,4000,14,0.7,380.0,500,717.5,380.0,0,1.0,0.00045771352597512305
maze,0.0,0.1,False,20,500,5000,13,0.65,360.0,500,677.5,360.0,0,1.0,0.00045771352597512305
maze,0.0,0.1,False,20,500,6000,17,0.85,440.0,500,875.0,440.0,0,1.0,0.00045771352597512305
maze,0.0,0.1,False,20,500,7000,13,0.65,360.0,500,685.0,360.0,0,1.0,0.00045771352597512305
maze,0.0,0.1,False,20,500,8000,15,0.75,400.0,500,802.5,400.0,0,1.0,0.00045771352597512305
maze,0.0,0.1,False,20,500,9000,17,0.85,440.0,500,897.5,440.0,0,1.0,0.00045771352597512305
maze,0.1,0.1,True,20,500,10,20,1.0,500.0,500,935.0,500.0,0,0.8975547552108765,1.4704164266586304
maze,0.1,0.1,True,20,500,1010,20,1.0,500.0,500,980.0,500.0,0,0.9046931266784668,1.4704158306121826
maze,0.1,0.1,True,20,500,2010,20,1.0,500.0,500,972.5,500.0,0,0.9050537943840027,1.4704047441482544
maze,0.1,0.1,True,20,500,3010,19,0.95,480.0,500,917.5,480.0,0,0.896151065826416,1.3770629167556763
maze,0.1,0.1,True,20,500,4010,19,0.95,480.0,500,925.0,480.0,0,0.9079995155334473,1.3770853281021118
maze,0.1,0.1,True,20,500,5010,19,0.95,480.0,500,932.5,480.0,0,0.8941856622695923,1.3770930767059326
maze,0.1,0.1,True,20,500,6010,20,1.0,500.0,500,972.5,500.0,0,0.9063654541969299,1.47040593624115
maze,0.1,0.1,True,20,500,7010,20,1.0,500.0,500,972.5,500.0,0,0.9087300896644592,1.47040593624115
maze,0.1,0.1,True,20,500,8010,20,1.0,500.0,500,972.5,500.0,0,0.9014150500297546,1.470407247543335
