scenario,quantum_coupling,diffusion_rate,collapse_enabled,population,max_steps,seed,alive_count,alive_rate,avg_survival_steps,max_survival_steps,avg_final_energy,avg_steps_taken,deadend_escapes,barrier_crossings,first_crossing_latency_mean,first_crossing_latency_median,crossing_toward_frac,wall_crossings,wall_step_crossings,seam_crossings,edge_crossings,edge_crossing_step_mean,final_coherence_mean,final_pilot_wave_mean,anticipatory_index_mean,anticipatory_frac_mean,maze_goal_reached,maze_route_gap_frac,maze_route_edge_frac,phi_mean,phi_final,path_eff_reached,path_eff_mean
maze,0.0,0.2,False,20,500,3000,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,1.0,0.022636640816926956,nan,nan,0,nan,nan,0.37852466106414795,0.37852466106414795,0,nan
maze,0.0,0.2,False,20,500,4000,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,1.0,0.022636640816926956,nan,nan,0,nan,nan,0.37852466106414795,0.37852466106414795,0,nan
maze,0.0,0.2,False,20,500,5000,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,1.0,0.022636640816926956,nan,nan,0,nan,nan,0.37852466106414795,0.37852466106414795,0,nan
maze,0.0,0.2,False,20,500,6000,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,1.0,0.022636640816926956,nan,nan,0,nan,nan,0.37852466106414795,0.37852466106414795,0,nan
maze,0.0,0.2,False,20,500,7000,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,1.0,0.022636640816926956,nan,nan,0,nan,nan,0.37852466106414795,0.37852466106414795,0,nan
maze,0.0,0.2,False,20,500,8000,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,1.0,0.022636640816926956,nan,nan,0,nan,nan,0.37852466106414795,0.37852466106414795,0,nan
maze,0.0,0.2,False,20,500,9000,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,1.0,0.022636640816926956,nan,nan,0,nan,nan,0.37852466106414795,0.37852466106414795,0,nan
maze,0.1,0.2,True,20,500,10,20,1.0,500.0,500,600.0,500.0,0,0,nan,nan,nan,0,0,0,20,1.05,0.9860026836395264,4.564656734466553,nan,nan,20,0.0,1.0,0.37852481603622434,0.3785246014595032,20,0.8822821824242266
maze,0.1,0.2,True,20,500,1010,20,1.0,500.0,500,600.0,500.0,0,0,nan,nan,nan,0,0,0,20,1.0,0.9860000014305115,4.564065933227539,nan,nan,20,0.0,1.0,0.37852481603622434,0.3785246014595032,20,0.8826964004210819
maze,0.1,0.2,True,20,500,2010,20,1.0,500.0,500,600.0,500.0,0,0,nan,nan,nan,0,0,0,20,1.0,0.9855189323425293,4.564384937286377,nan,nan,20,0.0,1.0,0.37852481603622434,0.3785246014595032,20,0.8381019565103921
maze,0.1,0.2,True,20,500,3010,20,1.0,500.0,500,600.0,500.0,0,0,nan,nan,nan,0,0,0,20,1.1,0.9859442710876465,4.564391613006592,nan,nan,20,0.0,1.0,0.37852481603622434,0.3785246014595032,20,0.8904349859238355
maze,0.1,0.2,True,20,500,4010,20,1.0,500.0,500,600.0,500.0,0,0,nan,nan,nan,0,0,0,20,1.05,0.9860854148864746,4.565300464630127,nan,nan,20,0.0,1.0,0.37852481603622434,0.3785246014595032,20,0.901904629194217
maze,0.1,0.2,True,20,500,5010,20,1.0,500.0,500,600.0,500.0,0,0,nan,nan,nan,0,0,0,20,1.1,0.9860475063323975,4.565792560577393,nan,nan,20,0.0,1.0,0.37852481603622434,0.3785246014595032,20,0.8906069923546844
