scenario,quantum_coupling,diffusion_rate,collapse_enabled,population,max_steps,seed,alive_count,alive_rate,avg_survival_steps,max_survival_steps,avg_final_energy,avg_steps_taken,deadend_escapes,barrier_crossings,first_crossing_latency_mean,first_crossing_latency_median,crossing_toward_frac,wall_crossings,wall_step_crossings,seam_crossings,edge_crossings,edge_crossing_step_mean,final_coherence_mean,final_pilot_wave_mean,anticipatory_index_mean,anticipatory_frac_mean,maze_goal_reached,maze_route_gap_frac,maze_route_edge_frac,phi_mean,phi_final,path_eff_reached,path_eff_mean,config
tunnel,0.0,0.2,True,20,500,9100,13,0.65,360.0,500,315.0,360.0,10,13,14.0,7.5,0.9285714285714286,0,12,2,11,9.181818181818182,0.8998428583145142,4.366799354553223,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,13,0.40662748554091027,eps0.1
tunnel,0.0,0.2,True,20,500,200,11,0.55,320.0,500,280.0,320.0,13,19,32.7,40.5,0.9473684210526315,0,17,2,13,7.923076923076923,0.8919346928596497,4.577303409576416,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,11,0.40997230874974594,eps0.2
tunnel,0.0,0.2,True,20,500,1200,13,0.65,360.0,500,335.0,360.0,9,17,18.133333333333333,9.0,0.8421052631578947,0,17,2,14,7.785714285714286,0.9001842737197876,4.77561092376709,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,13,0.44602922676800694,eps0.2
tunnel,0.0,0.2,True,20,500,2200,19,0.95,480.0,500,480.0,480.0,3,19,12.25,10.5,0.8947368421052632,0,17,2,13,6.230769230769231,0.889875054359436,5.153250217437744,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,19,0.3897954009463551,eps0.2
tunnel,0.0,0.2,True,20,500,3200,15,0.75,400.0,500,380.0,400.0,7,18,14.615384615384615,14.0,0.9444444444444444,1,15,2,13,6.384615384615385,0.8934146165847778,4.838955879211426,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,15,0.37761766835791283,eps0.2
tunnel,0.0,0.2,True,20,500,4200,17,0.85,440.0,500,415.0,440.0,7,18,19.846153846153847,20.0,0.9,1,17,2,13,6.923076923076923,0.8868155479431152,4.958390235900879,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,17,0.3536800824538665,eps0.2
tunnel,0.0,0.2,True,20,500,5200,17,0.85,440.0,500,420.0,440.0,6,17,9.0,5.0,0.9411764705882353,2,12,3,13,9.153846153846153,0.8873047828674316,5.002695083618164,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,17,0.4002795365521647,eps0.2
tunnel,0.0,0.2,True,20,500,6200,18,0.9,460.0,500,450.0,460.0,5,20,19.77777777777778,11.0,0.9,1,17,2,12,9.083333333333334,0.8911947011947632,4.961703777313232,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,18,0.38363891589229593,eps0.2
tunnel,0.0,0.2,True,20,500,7200,18,0.9,460.0,500,435.0,460.0,8,19,17.333333333333332,13.5,0.9,1,16,3,14,6.857142857142857,0.8825465440750122,5.0297532081604,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,18,0.3744424497990606,eps0.2
tunnel,0.0,0.2,True,20,500,8200,13,0.65,360.0,500,320.0,360.0,7,16,18.583333333333332,11.5,0.7647058823529411,1,14,2,12,9.166666666666666,0.8892392516136169,4.708277702331543,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,13,0.38343347084792345,eps0.2
tunnel,0.0,0.2,True,20,500,9200,17,0.85,440.0,500,420.0,440.0,10,18,11.818181818181818,8.0,0.8888888888888888,0,16,2,14,6.857142857142857,0.8922185897827148,4.899305820465088,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,17,0.3808149671367548,eps0.2
tunnel,0.0,0.2,True,20,500,300,18,0.9,460.0,500,440.0,460.0,3,19,11.23076923076923,6.0,0.7894736842105263,2,15,2,13,6.461538461538462,0.8722065687179565,5.343696117401123,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,18,0.32911492801341313,eps0.3
tunnel,0.0,0.2,True,20,500,1300,15,0.75,400.0,500,375.0,400.0,5,19,16.75,12.5,0.9,2,16,2,14,7.357142857142857,0.8771610856056213,5.069448471069336,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,15,0.3290706660036304,eps0.3
tunnel,0.0,0.2,True,20,500,2300,14,0.7,380.0,500,340.0,380.0,5,19,14.818181818181818,6.0,0.5789473684210527,1,16,2,14,3.5,0.8864057064056396,5.105741500854492,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,14,0.3276437616106858,eps0.3
