scenario,quantum_coupling,diffusion_rate,collapse_enabled,population,max_steps,seed,alive_count,alive_rate,avg_survival_steps,max_survival_steps,avg_final_energy,avg_steps_taken,deadend_escapes,barrier_crossings,final_coherence_mean,final_pilot_wave_mean
moving,0.05,0.2,True,20,500,29,0,0.0,100.0,100,0.0,100.0,0,0,0.9761388897895813,3.2309975624084473
moving,0.05,0.2,True,20,500,30,0,0.0,100.0,100,0.0,100.0,0,0,0.9744506478309631,3.3100924491882324
moving,0.05,0.2,True,20,500,31,18,0.9,460.0,500,288.0,460.0,18,0,0.9249352812767029,12.7777099609375
moving,0.05,0.2,True,20,500,32,0,0.0,100.0,100,0.0,100.0,0,0,0.9760594367980957,3.2606496810913086
moving,0.05,0.2,True,20,500,33,20,1.0,500.0,500,320.0,500.0,20,0,0.9262328147888184,12.237441062927246
moving,0.05,0.2,True,20,500,34,20,1.0,500.0,500,320.0,500.0,20,0,0.9261531829833984,12.339025497436523
moving,0.05,0.2,True,20,500,35,20,1.0,500.0,500,320.0,500.0,20,0,0.9259331226348877,12.254844665527344
moving,0.05,0.2,True,20,500,36,0,0.0,100.0,100,0.0,100.0,0,0,0.978216290473938,3.1172828674316406
moving,0.05,0.2,True,20,500,37,0,0.0,100.0,100,0.0,100.0,0,0,0.9769684076309204,3.1141610145568848
moving,0.05,0.2,True,20,500,38,18,0.9,460.0,500,288.0,460.0,18,0,0.9250440001487732,12.786731719970703
moving,0.05,0.2,True,20,500,39,20,1.0,500.0,500,320.0,500.0,20,0,0.9178293347358704,12.277885437011719
moving,0.05,0.2,True,20,500,40,17,0.85,440.0,500,272.0,440.0,17,0,0.921039342880249,13.099931716918945
moving,0.05,0.2,True,20,500,41,17,0.85,440.0,500,272.0,440.0,17,0,0.9207167625427246,13.101560592651367
moving,0.05,0.2,True,20,500,42,18,0.9,460.0,500,288.0,460.0,18,0,0.9252851009368896,12.773984909057617
moving,0.05,0.2,True,20,500,43,20,1.0,500.0,500,320.0,500.0,20,0,0.9267789721488953,12.267228126525879
moving,0.05,0.2,True,20,500,44,20,1.0,500.0,500,320.0,500.0,20,0,0.9259244203567505,12.289454460144043
moving,0.05,0.2,True,20,500,45,0,0.0,100.0,100,0.0,100.0,0,0,0.97735995054245,3.1299266815185547
moving,0.05,0.2,True,20,500,46,0,0.0,100.0,100,0.0,100.0,0,0,0.9772841930389404,3.1082396507263184
moving,0.05,0.2,True,20,500,47,20,1.0,500.0,500,320.0,500.0,20,0,0.9154084920883179,11.786766052246094
moving,0.05,0.2,True,20,500,48,18,0.9,460.0,500,288.0,460.0,18,0,0.9252914190292358,12.771973609924316
moving,0.05,0.2,True,20,500,49,20,1.0,500.0,500,320.0,500.0,20,0,0.9259933829307556,12.290802955627441
moving,0.1,0.2,True,20,500,0,20,1.0,500.0,500,320.0,500.0,20,0,0.9261924028396606,12.275680541992188
moving,0.1,0.2,True,20,500,1,20,1.0,500.0,500,320.0,500.0,20,0,0.927448034286499,12.208087921142578
moving,0.1,0.2,True,20,500,2,20,1.0,500.0,500,320.0,500.0,20,0,0.9273102283477783,12.263063430786133
moving,0.1,0.2,True,20,500,3,18,0.9,460.0,500,288.0,460.0,18,0,0.9254087805747986,12.775640487670898
moving,0.1,0.2,True,20,500,4,0,0.0,100.0,100,0.0,100.0,0,0,0.9781680107116699,3.113105535507202
moving,0.1,0.2,True,20,500,5,18,0.9,460.0,500,288.0,460.0,18,0,0.925362229347229,12.775248527526855
